File,Dataset,predict_time,predict_throughput,histogram_time,histogram_throughput,huff-enc_time,huff-enc_throughput,(subtotal)_time,(subtotal)_throughput,book_time,book_throughput,(total)_time,(total)_throughput
PRECL_1_1800_3600.f32,CESM,0.65,37.142,0.245,99.136,0.707,37.076,1.602,15.404,0.289,83.954,1.891,13.004
FSNSC_1_1800_3600.f32,CESM,1.12,26.914,0.393,71.974,0.727,36.962,2.239,12.038,0.296,81.818,2.535,10.35
TROP_P_1_1800_3600.f32,CESM,1.109,25.45,0.374,69.358,0.707,35.234,2.189,11.78,0.08,306.434,2.269,11.328
SRFRAD_1_1800_3600.f32,CESM,0.827,31.058,0.322,85.974,1.002,29.88,2.151,12.134,0.213,113.62,2.364,10.89
PRECCDZM_1_1800_3600.f32,CESM,0.727,35.252,0.261,94.762,0.601,40.212,1.589,15.456,0.281,86.01,1.87,13.062
SOLIN_1_1800_3600.f32,CESM,0.627,38.514,0.248,97.996,0.589,41.324,1.464,16.526,0.059,407.324,1.523,15.882
LANDFRAC_1_1800_3600.f32,CESM,0.776,32.226,0.342,82.482,0.729,37.548,1.847,14.224,0.368,65.644,2.215,11.608
FSNTOA_1_1800_3600.f32,CESM,0.753,33.03,0.62,71.766,0.615,39.494,1.989,13.288,0.291,82.976,2.28,11.376
PCONVT_1_1800_3600.f32,CESM,0.753,33.422,0.475,69.754,0.864,32.808,2.092,13.164,0.206,117.622,2.298,11.702
FSDTOA_1_1800_3600.f32,CESM,0.708,34.448,0.387,71.182,0.647,37.466,1.742,14.124,0.06,400.256,1.802,13.64
TSMX_1_1800_3600.f32,CESM,1.474,23.244,0.344,70.644,0.7,34.802,2.518,10.896,0.273,89.764,2.792,9.642
ODV_bcar2_1_1800_3600.f32,CESM,0.804,31.31,0.422,66.152,0.976,27.84,2.202,11.882,0.315,76.676,2.517,10.204
FSNS_1_1800_3600.f32,CESM,0.723,33.792,0.87,59.202,0.622,39.346,2.214,12.724,0.332,73.692,2.546,10.748
TGCLDIWP_1_1800_3600.f32,CESM,0.809,31.706,0.373,70.56,0.783,33.268,1.965,12.954,0.277,87.282,2.242,11.234
ODV_dust3_1_1800_3600.f32,CESM,0.798,30.976,0.418,64.902,0.814,32.708,2.031,12.6,0.383,67.31,2.413,10.352
PCONVB_1_1800_3600.f32,CESM,0.798,32.108,0.356,74.734,0.578,41.864,1.732,14.308,0.206,117.342,1.939,12.726
FLUTC_1_1800_3600.f32,CESM,0.822,30.974,0.393,73.638,0.775,35.914,1.99,13.402,0.262,92.518,2.253,11.578
ODV_bcar1_1_1800_3600.f32,CESM,0.902,30.204,0.321,81.57,0.789,32.352,2.013,12.434,0.355,69.226,2.368,10.508
PRECSC_1_1800_3600.f32,CESM,0.85,29.454,0.318,77.286,0.623,38.936,1.79,13.626,0.266,90.736,2.057,11.834
LHFLX_1_1800_3600.f32,CESM,0.708,35.55,0.359,76.888,1.021,29.628,2.088,12.644,0.353,68.476,2.441,10.55
CLDLOW_1_1800_3600.f32,CESM,0.707,35.558,0.327,76.128,0.646,38.454,1.68,14.48,0.343,70.45,2.022,11.998
CLDMED_1_1800_3600.f32,CESM,0.975,30.374,0.435,67.678,1.188,30.318,2.598,12.234,0.375,69.14,2.974,10.3
FSDSC_1_1800_3600.f32,CESM,0.678,35.718,0.271,90.408,0.591,40.964,1.54,15.724,0.184,131.492,1.724,14.03
ICEFRAC_1_1800_3600.f32,CESM,0.601,40.244,0.279,87.556,0.569,42.45,1.449,16.662,0.361,66.838,1.811,13.336
