File,Dataset,predict_time,predict_throughput,histogram_time,histogram_throughput,huff-enc_time,huff-enc_throughput,(subtotal)_time,(subtotal)_throughput,book_time,book_throughput,(total)_time,(total)_throughput
FLNSC_1_1800_3600.f32,CESM,0.468,51.668,0.186,130.004,0.269,89.836,0.922,26.188,0.303,79.656,1.225,19.708
ODV_SSLTA_1_1800_3600.f32,CESM,0.45,53.678,0.178,135.664,0.268,90.188,0.896,26.96,0.291,82.866,1.187,20.338
FSDS_1_1800_3600.f32,CESM,0.468,51.566,0.188,128.646,0.27,89.25,0.926,26.06,0.262,92.328,1.188,20.322
FLNT_1_1800_3600.f32,CESM,0.47,51.448,0.187,129.1,0.27,89.384,0.927,26.056,0.159,151.49,1.086,22.23
FSNTC_1_1800_3600.f32,CESM,0.456,52.932,0.187,129.326,0.269,89.684,0.912,26.472,0.259,94.0,1.171,20.626
SWCF_1_1800_3600.f32,CESM,0.469,51.524,0.19,127.09,0.277,87.112,0.936,25.8,0.306,78.9,1.242,19.438
PBLH_1_1800_3600.f32,CESM,0.463,52.122,0.188,128.396,0.271,89.056,0.922,26.172,0.271,89.252,1.193,20.234
PRECCDZM_1_1800_3600.f32,CESM,0.456,52.926,0.18,133.812,0.268,90.184,0.904,26.694,0.245,98.394,1.15,20.994
AEROD_v_1_1800_3600.f32,CESM,0.47,52.076,0.189,128.92,0.276,88.234,0.935,26.11,0.291,83.074,1.226,19.842
LWCF_1_1800_3600.f32,CESM,0.464,52.244,0.186,129.542,0.27,89.45,0.92,26.266,0.244,99.054,1.164,20.756
TROP_Z_1_1800_3600.f32,CESM,0.473,51.084,0.187,128.92,0.274,88.222,0.934,25.854,0.101,240.002,1.034,23.342
TREFHT_1_1800_3600.f32,CESM,0.463,52.184,0.187,129.098,0.272,88.846,0.921,26.202,0.141,171.246,1.062,22.722
ODV_sulf_1_1800_3600.f32,CESM,0.466,51.838,0.18,133.926,0.264,91.524,0.91,26.536,0.288,83.84,1.198,20.154
SNOWHICE_1_1800_3600.f32,CESM,0.457,52.866,0.182,132.568,0.272,88.816,0.911,26.51,0.317,76.18,1.228,19.666
TSMN_1_1800_3600.f32,CESM,0.462,52.296,0.186,129.626,0.273,88.572,0.92,26.226,0.275,87.676,1.196,20.186
SOLIN_1_1800_3600.f32,CESM,0.462,52.22,0.186,130.146,0.268,90.19,0.916,26.366,0.054,446.91,0.97,24.898
PRECSH_1_1800_3600.f32,CESM,0.453,53.258,0.18,133.822,0.276,87.538,0.91,26.54,0.246,98.044,1.156,20.884
PS_1_1800_3600.f32,CESM,0.472,51.174,0.187,129.008,0.275,87.958,0.934,25.86,0.185,130.576,1.118,21.584
TROP_P_1_1800_3600.f32,CESM,0.473,51.032,0.188,128.67,0.269,89.7,0.93,25.96,0.064,374.93,0.994,24.282
QFLX_1_1800_3600.f32,CESM,0.46,52.522,0.184,130.916,0.27,89.334,0.914,26.4,0.307,78.594,1.222,19.762
TSMX_1_1800_3600.f32,CESM,0.463,52.15,0.186,129.974,0.273,88.492,0.922,26.196,0.221,109.162,1.143,21.126
FLDS_1_1800_3600.f32,CESM,0.478,50.488,0.191,126.726,0.27,89.256,0.939,25.702,0.125,192.412,1.065,22.674
FLNS_1_1800_3600.f32,CESM,0.46,52.464,0.186,129.89,0.268,90.158,0.914,26.418,0.297,81.184,1.211,19.932
CLDMED_1_1800_3600.f32,CESM,0.455,53.106,0.185,130.322,0.272,88.664,0.912,26.466,0.281,86.038,1.193,20.242
PRECT_1_1800_3600.f32,CESM,0.448,53.906,0.183,131.62,0.269,89.656,0.901,26.808,0.237,101.918,1.138,21.224
FSNT_1_1800_3600.f32,CESM,0.458,52.696,0.188,128.254,0.273,88.448,0.919,26.256,0.257,93.878,1.177,20.518
QREFHT_1_1800_3600.f32,CESM,0.46,52.54,0.186,129.766,0.27,89.36,0.916,26.358,0.24,100.8,1.156,20.894
ODV_dust2_1_1800_3600.f32,CESM,0.457,52.844,0.178,135.954,0.267,90.594,0.901,26.794,0.284,85.028,1.185,20.374
LANDFRAC_1_1800_3600.f32,CESM,0.449,53.8,0.179,135.134,0.266,90.682,0.894,27.014,0.312,77.292,1.206,20.018
