File,Dataset,predict_time,predict_throughput,histogram_time,histogram_throughput,huff-enc_time,huff-enc_throughput,(subtotal)_time,(subtotal)_throughput,book_time,book_throughput,(total)_time,(total)_throughput,Card
SNOWHICE_1_1800_3600.f32,CESM,0.538,44.906,0.183,131.616,0.479,50.35,1.201,20.108,0.29,83.212,1.491,16.192,A4000
ODV_SSLTA_1_1800_3600.f32,CESM,0.541,44.686,0.178,135.8,0.464,52.056,1.182,20.422,0.258,93.696,1.44,16.768,A4000
ODV_dust2_1_1800_3600.f32,CESM,0.539,44.834,0.184,131.498,0.467,51.728,1.189,20.298,0.26,92.934,1.449,16.66,A4000
PCONVB_1_1800_3600.f32,CESM,0.534,45.184,0.184,131.04,0.475,50.83,1.194,20.226,0.164,147.522,1.357,17.786,A4000
PRECSL_1_1800_3600.f32,CESM,0.531,45.486,0.182,132.526,0.476,50.758,1.189,20.31,0.235,102.814,1.423,16.96,A4000
PRECL_1_1800_3600.f32,CESM,0.526,45.89,0.187,129.396,0.48,50.242,1.193,20.232,0.224,107.726,1.417,17.034,A4000
CLDTOT_1_1800_3600.f32,CESM,0.558,43.292,0.194,124.526,0.49,49.266,1.242,19.446,0.216,111.976,1.457,16.568,A4000
PRECCDZM_1_1800_3600.f32,CESM,0.544,44.398,0.186,129.69,0.481,50.154,1.212,19.926,0.222,108.502,1.434,16.838,A4000
FSDTOA_1_1800_3600.f32,CESM,0.535,45.148,0.188,128.17,0.469,51.518,1.192,20.26,0.051,472.03,1.243,19.424,A4000
LANDFRAC_1_1800_3600.f32,CESM,0.531,45.506,0.178,135.444,0.474,50.954,1.183,20.414,0.296,81.768,1.478,16.33,A4000
TGCLDLWP_1_1800_3600.f32,CESM,0.527,45.774,0.185,130.816,0.479,50.358,1.191,20.266,0.266,90.884,1.457,16.568,A4000
FSNS_1_1800_3600.f32,CESM,0.528,45.688,0.186,129.608,0.483,49.952,1.198,20.154,0.254,95.026,1.452,16.628,A4000
AEROD_v_1_1800_3600.f32,CESM,1.018,36.664,0.391,111.008,0.621,45.328,2.03,17.014,0.256,94.236,2.287,14.138,A4000
ODV_bcar1_1_1800_3600.f32,CESM,0.533,45.334,0.176,137.41,0.466,51.824,1.174,20.56,0.258,93.736,1.432,16.862,A4000
ODV_dust4_1_1800_3600.f32,CESM,0.526,45.854,0.18,134.086,0.467,51.712,1.173,20.572,0.258,93.704,1.431,16.87,A4000
TS_1_1800_3600.f32,CESM,0.525,45.982,0.184,131.286,0.475,50.846,1.184,20.394,0.185,130.148,1.369,17.632,A4000
LHFLX_1_1800_3600.f32,CESM,0.533,45.278,0.186,129.602,0.474,50.98,1.193,20.234,0.28,86.26,1.473,16.388,A4000
PRECT_1_1800_3600.f32,CESM,0.535,45.114,0.191,126.552,0.48,50.33,1.206,20.024,0.215,112.078,1.421,16.986,A4000
CLDLOW_1_1800_3600.f32,CESM,0.556,43.458,0.19,127.104,0.488,49.506,1.233,19.574,0.272,88.666,1.506,16.034,A4000
SNOWHLND_1_1800_3600.f32,CESM,0.546,44.208,0.185,130.766,0.477,50.564,1.208,19.978,0.29,83.258,1.498,16.112,A4000
ODV_dust3_1_1800_3600.f32,CESM,0.529,45.626,0.179,134.59,0.467,51.748,1.175,20.544,0.258,93.53,1.433,16.844,A4000
TROP_P_1_1800_3600.f32,CESM,0.527,45.85,0.184,130.954,0.472,51.096,1.183,20.4,0.06,404.946,1.243,19.42,A4000
PBLH_1_1800_3600.f32,CESM,0.539,44.828,0.185,130.262,0.478,50.502,1.202,20.084,0.243,99.188,1.446,16.702,A4000
FLUT_1_1800_3600.f32,CESM,0.54,44.702,0.189,127.864,0.478,50.472,1.207,19.996,0.145,166.282,1.352,17.85,A4000
FLUTC_1_1800_3600.f32,CESM,0.54,44.73,0.191,126.736,0.475,50.838,1.206,20.024,0.194,124.41,1.4,17.25,A4000
TREFMXAV_1_1800_3600.f32,CESM,0.536,45.08,0.191,126.864,0.478,50.534,1.204,20.046,0.118,204.178,1.323,18.254,A4000
CLDMED_1_1800_3600.f32,CESM,0.57,42.39,0.194,124.676,0.49,49.252,1.254,19.256,0.264,91.752,1.518,15.912,A4000
RHREFHT_1_1800_3600.f32,CESM,0.53,45.548,0.186,129.682,0.477,50.614,1.193,20.232,0.196,122.95,1.39,17.372,A4000
TROP_Z_1_1800_3600.f32,CESM,0.527,45.792,0.186,130.158,0.471,51.274,1.184,20.398,0.092,262.514,1.276,18.926,A4000
FSNT_1_1800_3600.f32,CESM,0.541,44.6,0.19,127.326,0.484,49.926,1.214,19.878,0.231,104.378,1.446,16.696,A4000
FLNSC_1_1800_3600.f32,CESM,0.546,44.226,0.191,126.838,0.479,50.41,1.215,19.864,0.276,87.588,1.491,16.19,A4000
TGCLDIWP_1_1800_3600.f32,CESM,0.528,45.684,0.186,129.65,0.483,50.03,1.197,20.166,0.223,108.47,1.42,17.004,A4000
ODV_SSLTC_1_1800_3600.f32,CESM,0.533,45.322,0.182,132.992,0.464,52.048,1.179,20.486,0.261,92.608,1.44,16.772,A4000
TSMX_1_1800_3600.f32,CESM,0.524,46.08,0.184,131.156,0.477,50.606,1.185,20.37,0.201,120.242,1.386,17.422,A4000
ODV_ocar1_1_1800_3600.f32,CESM,0.541,44.66,0.181,133.736,0.465,51.92,1.187,20.348,0.257,93.88,1.444,16.722,A4000
PS_1_1800_3600.f32,CESM,0.534,45.222,0.184,131.218,0.475,50.834,1.193,20.232,0.162,148.992,1.355,17.816,A4000
OCNFRAC_1_1800_3600.f32,CESM,0.524,46.09,0.181,133.046,0.473,50.998,1.179,20.482,0.295,81.98,1.474,16.384,A4000
PRECSC_1_1800_3600.f32,CESM,0.525,46.008,0.182,132.506,0.472,51.126,1.179,20.474,0.215,112.3,1.394,17.318,A4000
FLDS_1_1800_3600.f32,CESM,0.546,44.228,0.188,128.22,0.475,50.81,1.209,19.962,0.115,209.81,1.324,18.226,A4000
TROP_T_1_1800_3600.f32,CESM,0.536,45.038,0.188,128.656,0.473,51.094,1.196,20.182,0.064,382.326,1.26,19.164,A4000
FSNTC_1_1800_3600.f32,CESM,0.538,44.864,0.187,129.076,0.477,50.628,1.202,20.084,0.222,108.91,1.424,16.956,A4000
SOLIN_1_1800_3600.f32,CESM,0.549,44.04,0.187,129.082,0.474,50.932,1.21,19.964,0.05,483.274,1.26,19.172,A4000
TREFMNAV_1_1800_3600.f32,CESM,0.529,45.68,0.187,129.346,0.483,50.052,1.198,20.156,0.141,171.646,1.338,18.038,A4000
FREQSH_1_1800_3600.f32,CESM,0.543,44.462,0.188,128.278,0.491,49.15,1.222,19.748,0.274,87.958,1.497,16.126,A4000
FLDSC_1_1800_3600.f32,CESM,0.543,44.452,0.188,128.362,0.473,51.022,1.204,20.044,0.113,214.026,1.317,18.326,A4000
TSMN_1_1800_3600.f32,CESM,0.529,45.64,0.185,130.188,0.479,50.394,1.194,20.226,0.249,96.812,1.443,16.73,A4000
FSNTOA_1_1800_3600.f32,CESM,0.536,45.062,0.187,129.206,0.481,50.166,1.204,20.052,0.231,104.552,1.435,16.826,A4000
FSUTOA_1_1800_3600.f32,CESM,0.545,44.328,0.188,128.432,0.483,49.94,1.216,19.85,0.269,89.794,1.485,16.252,A4000
CLDHGH_1_1800_3600.f32,CESM,0.547,44.17,0.186,129.792,0.486,49.666,1.219,19.808,0.232,104.056,1.451,16.642,A4000
LWCF_1_1800_3600.f32,CESM,0.528,45.756,0.185,130.698,0.48,50.246,1.193,20.236,0.22,109.546,1.413,17.082,A4000
PCONVT_1_1800_3600.f32,CESM,0.542,44.592,0.186,130.088,0.483,49.976,1.21,19.946,0.164,147.07,1.374,17.564,A4000
ODV_sulf_1_1800_3600.f32,CESM,0.542,44.564,0.179,134.682,0.468,51.624,1.189,20.308,0.257,93.914,1.446,16.696,A4000
TAUX_1_1800_3600.f32,CESM,0.52,46.43,0.184,130.946,0.475,50.848,1.179,20.476,0.287,84.138,1.466,16.466,A4000
FLNTC_1_1800_3600.f32,CESM,0.546,44.246,0.189,127.908,0.477,50.556,1.212,19.918,0.197,122.764,1.409,17.136,A4000
FSDS_1_1800_3600.f32,CESM,0.529,45.614,0.185,130.234,0.481,50.182,1.196,20.19,0.235,102.704,1.431,16.872,A4000
QFLX_1_1800_3600.f32,CESM,0.528,45.716,0.187,129.51,0.472,51.092,1.187,20.334,0.277,87.03,1.465,16.484,A4000
SHFLX_1_1800_3600.f32,CESM,0.541,44.618,0.183,132.074,0.466,51.872,1.19,20.296,0.287,84.018,1.477,16.348,A4000
TMQ_1_1800_3600.f32,CESM,0.524,46.064,0.19,127.264,0.475,50.82,1.189,20.296,0.209,115.428,1.399,17.262,A4000
ICEFRAC_1_1800_3600.f32,CESM,0.528,45.7,0.181,133.73,0.48,50.344,1.188,20.314,0.29,83.242,1.478,16.328,A4000
FLNT_1_1800_3600.f32,CESM,0.556,43.488,0.189,127.586,0.48,50.3,1.225,19.714,0.145,166.182,1.37,17.622,A4000
ODV_bcar2_1_1800_3600.f32,CESM,0.548,44.048,0.181,133.816,0.471,51.314,1.2,20.128,0.259,93.312,1.458,16.556,A4000
PRECC_1_1800_3600.f32,CESM,0.552,43.776,0.185,130.788,0.483,49.982,1.219,19.8,0.223,108.162,1.443,16.738,A4000
PSL_1_1800_3600.f32,CESM,0.533,45.29,0.186,129.666,0.472,51.14,1.192,20.264,0.075,322.634,1.267,19.064,A4000
ODV_ocar2_1_1800_3600.f32,CESM,0.531,45.534,0.177,136.642,0.463,52.108,1.171,20.626,0.261,92.634,1.431,16.87,A4000
PRECSH_1_1800_3600.f32,CESM,0.524,46.086,0.185,130.512,0.475,50.772,1.185,20.384,0.227,106.528,1.411,17.104,A4000
FREQZM_1_1800_3600.f32,CESM,0.528,45.73,0.185,130.676,0.485,49.824,1.197,20.166,0.253,95.406,1.451,16.642,A4000
FSNSC_1_1800_3600.f32,CESM,0.538,44.928,0.189,127.926,0.476,50.668,1.203,20.076,0.239,101.074,1.442,16.746,A4000
ODV_dust1_1_1800_3600.f32,CESM,0.538,44.866,0.178,136.008,0.467,51.716,1.183,20.412,0.258,93.452,1.441,16.752,A4000
QREFHT_1_1800_3600.f32,CESM,0.528,45.766,0.187,129.456,0.475,50.814,1.189,20.3,0.217,111.46,1.406,17.174,A4000
FSDSC_1_1800_3600.f32,CESM,0.536,45.118,0.184,131.162,0.469,51.524,1.188,20.322,0.144,167.508,1.332,18.122,A4000
PHIS_1_1800_3600.f32,CESM,0.529,45.626,0.184,131.066,0.475,50.778,1.189,20.308,0.221,109.25,1.41,17.122,A4000
FLNS_1_1800_3600.f32,CESM,0.545,44.272,0.186,129.904,0.488,49.434,1.22,19.796,0.277,87.164,1.497,16.132,A4000
FSNTOAC_1_1800_3600.f32,CESM,0.534,45.176,0.188,128.61,0.477,50.664,1.199,20.14,0.224,107.58,1.423,16.966,A4000
TAUY_1_1800_3600.f32,CESM,0.505,48.206,0.183,131.724,0.475,50.782,1.164,20.772,0.28,86.356,1.443,16.738,A4000
TREFHT_1_1800_3600.f32,CESM,0.523,46.124,0.183,132.084,0.472,51.13,1.178,20.486,0.125,193.56,1.303,18.528,A4000
SWCF_1_1800_3600.f32,CESM,0.522,46.266,0.186,130.124,0.487,49.602,1.194,20.218,0.271,89.02,1.465,16.476,A4000
SRFRAD_1_1800_3600.f32,CESM,0.525,45.96,0.184,131.15,0.478,50.546,1.187,20.338,0.173,139.712,1.36,17.754,A4000
zz.dat2.f32,EXAALT,0.566,42.634,0.175,138.124,0.488,49.484,1.229,19.646,0.279,86.65,1.507,16.014,A4000
yy.dat2.f32,EXAALT,0.573,42.126,0.177,136.616,0.497,48.576,1.247,19.366,0.282,85.492,1.529,15.786,A4000
xx.dat2.f32,EXAALT,0.566,42.634,0.173,140.034,0.488,49.474,1.227,19.678,0.279,86.536,1.506,16.032,A4000
xx.f32,HACC,0.535,45.118,0.187,128.938,0.504,47.882,1.227,19.682,0.231,104.59,1.457,16.564,A4000
vx.f32,HACC,0.566,42.668,0.183,132.136,0.519,46.492,1.268,19.044,0.284,84.938,1.552,15.558,A4000
vz.f32,HACC,0.559,43.164,0.182,132.964,0.517,46.676,1.258,19.188,0.286,84.292,1.545,15.628,A4000
vy.f32,HACC,0.559,43.154,0.183,131.884,0.522,46.254,1.265,19.092,0.287,84.13,1.552,15.562,A4000
