File,Dataset,predict_time,predict_throughput,histogram_time,histogram_throughput,huff-enc_time,huff-enc_throughput,(subtotal)_time,(subtotal)_throughput,book_time,book_throughput,(total)_time,(total)_throughput,Card
LWCF_1_1800_3600.f32,CESM,0.522,46.222,0.085,282.428,0.467,51.706,1.075,22.462,0.315,76.54,1.39,17.368,A4000
TS_1_1800_3600.f32,CESM,0.517,46.652,0.086,281.26,0.463,52.162,1.066,22.644,0.277,87.014,1.344,17.968,A4000
AEROD_v_1_1800_3600.f32,CESM,0.537,44.948,0.085,283.054,0.453,53.29,1.075,22.448,0.367,65.854,1.443,16.738,A4000
PRECSC_1_1800_3600.f32,CESM,0.513,47.066,0.085,284.328,0.458,52.698,1.056,22.86,0.312,77.446,1.368,17.648,A4000
SRFRAD_1_1800_3600.f32,CESM,0.525,45.966,0.086,280.502,0.468,51.596,1.079,22.368,0.268,90.136,1.347,17.922,A4000
TROP_P_1_1800_3600.f32,CESM,0.526,45.95,0.086,282.222,0.458,52.654,1.07,22.57,0.157,153.352,1.227,19.678,A4000
FLNTC_1_1800_3600.f32,CESM,0.537,45.0,0.085,283.414,0.462,52.208,1.084,22.264,0.297,81.334,1.381,17.48,A4000
PRECSH_1_1800_3600.f32,CESM,0.516,46.78,0.086,281.824,0.465,51.968,1.066,22.638,0.319,75.766,1.385,17.43,A4000
FSDS_1_1800_3600.f32,CESM,0.532,45.444,0.086,282.056,0.474,50.936,1.091,22.124,0.342,70.75,1.433,16.85,A4000
FSDSC_1_1800_3600.f32,CESM,0.525,46.032,0.085,282.498,0.458,52.706,1.068,22.604,0.245,98.618,1.313,18.392,A4000
TREFMNAV_1_1800_3600.f32,CESM,0.518,46.63,0.086,281.954,0.463,52.156,1.066,22.642,0.24,100.864,1.306,18.486,A4000
ODV_bcar1_1_1800_3600.f32,CESM,0.525,46.024,0.086,281.552,0.453,53.348,1.063,22.712,0.358,67.534,1.421,16.992,A4000
FSNTC_1_1800_3600.f32,CESM,0.526,45.86,0.086,281.574,0.46,52.456,1.072,22.51,0.324,74.454,1.397,17.284,A4000
FLNSC_1_1800_3600.f32,CESM,0.526,45.912,0.085,282.706,0.463,52.084,1.075,22.462,0.375,64.408,1.45,16.652,A4000
ICEFRAC_1_1800_3600.f32,CESM,0.518,46.654,0.085,282.688,0.462,52.254,1.065,22.67,0.383,63.036,1.448,16.672,A4000
PHIS_1_1800_3600.f32,CESM,0.512,47.154,0.086,281.916,0.46,52.468,1.058,22.824,0.314,76.864,1.372,17.6,A4000
PS_1_1800_3600.f32,CESM,0.514,46.93,0.086,281.126,0.459,52.616,1.059,22.792,0.258,93.574,1.317,18.328,A4000
