File,Dataset,predict_time,predict_throughput,histogram_time,histogram_throughput,huff-enc_time,huff-enc_throughput,(subtotal)_time,(subtotal)_throughput,book_time,book_throughput,(total)_time,(total)_throughput
FSNTC_1_1800_3600.f32,CESM,0.817,34.844,0.106,239.918,0.617,39.4,1.54,16.638,0.257,94.592,1.797,14.05
CLDMED_1_1800_3600.f32,CESM,0.765,33.42,0.143,206.26,0.798,31.116,1.706,14.388,0.268,90.472,1.974,12.38
TS_1_1800_3600.f32,CESM,0.767,32.486,0.102,239.21,0.746,33.286,1.614,15.058,0.314,94.722,1.928,12.572
FLNTC_1_1800_3600.f32,CESM,0.865,30.074,0.101,240.078,0.718,34.9,1.685,14.698,0.233,104.982,1.918,12.852
FSNS_1_1800_3600.f32,CESM,1.006,27.04,0.102,238.2,0.709,35.802,1.816,13.762,0.414,73.838,2.23,11.172
PS_1_1800_3600.f32,CESM,1.289,25.958,0.109,227.972,0.98,27.156,2.378,12.074,0.237,103.224,2.614,10.704
QFLX_1_1800_3600.f32,CESM,0.835,30.156,0.095,254.634,0.76,33.228,1.69,14.618,0.421,65.628,2.111,11.702
FSNT_1_1800_3600.f32,CESM,0.787,32.562,0.098,246.824,0.601,40.29,1.486,16.48,0.337,79.316,1.823,13.442
FLNSC_1_1800_3600.f32,CESM,0.929,29.622,0.15,191.174,0.824,30.138,1.903,13.58,0.418,76.068,2.321,11.342
FSUTOA_1_1800_3600.f32,CESM,1.015,26.834,0.111,222.58,0.718,35.272,1.843,13.752,0.417,71.252,2.26,10.952
TREFMNAV_1_1800_3600.f32,CESM,0.841,32.388,0.092,265.632,0.786,32.564,1.719,14.924,0.213,114.232,1.932,13.108
CLDHGH_1_1800_3600.f32,CESM,0.788,33.448,0.164,204.414,0.675,37.07,1.627,15.722,0.281,87.334,1.907,13.298
ODV_dust2_1_1800_3600.f32,CESM,0.753,33.808,0.103,235.366,0.736,34.866,1.592,15.72,0.259,93.262,1.851,13.416
FSDSC_1_1800_3600.f32,CESM,0.832,30.71,0.11,224.932,0.71,35.92,1.652,15.294,0.204,118.136,1.857,13.482
FLUT_1_1800_3600.f32,CESM,0.913,27.996,0.111,222.792,0.751,34.52,1.775,13.972,0.301,104.948,2.076,11.666
LHFLX_1_1800_3600.f32,CESM,0.679,35.888,0.1,242.76,0.628,38.558,1.407,17.222,0.286,85.42,1.692,14.316
TAUY_1_1800_3600.f32,CESM,0.804,32.228,0.096,250.634,0.59,41.046,1.49,16.552,0.281,86.424,1.771,13.868
CLDTOT_1_1800_3600.f32,CESM,1.163,25.102,0.146,204.202,0.864,29.68,2.173,12.434,0.363,76.436,2.536,10.584
ODV_ocar1_1_1800_3600.f32,CESM,0.862,29.0,0.134,206.344,0.752,33.56,1.748,13.938,0.269,89.974,2.017,12.06
PRECSC_1_1800_3600.f32,CESM,0.97,26.354,0.15,219.972,0.825,31.448,1.944,13.022,0.325,84.87,2.269,10.81
FSNTOA_1_1800_3600.f32,CESM,0.955,27.854,0.251,202.718,0.66,37.506,1.866,13.93,0.321,86.572,2.187,11.932
FSDS_1_1800_3600.f32,CESM,0.884,29.468,0.117,210.284,1.021,25.906,2.022,12.39,0.548,63.126,2.57,9.912
