file,(subtotal)_time_ms,(total)_time_ms,book_time_ms,histogram_time_ms,huff-enc_time_ms,predict_time_ms,(subtotal)_gib_s,(total)_gib_s,book_gib_s,histogram_gib_s,huff-enc_gib_s,predict_gib_s,Dataset
vz.f32,1.59,1.95,0.36,0.34,0.54,0.71,6.9,5.57,29.39,33.48,20.13,15.75,HACC_M
yy.f32,1.48,1.74,0.26,0.26,0.52,0.7,7.28,6.18,41.1,41.42,21.08,15.69,HACC_M
zz.f32,1.69,1.93,0.23,0.34,0.63,0.73,6.97,6.0,45.82,35.47,20.3,15.37,HACC_M
zz.f32.txt,3.19,3.42,0.22,0.72,1.86,0.61,3.35,3.13,47.95,14.82,5.74,17.54,HACC_M
vy.f32,1.86,2.52,0.66,0.32,0.72,0.83,6.1,4.54,18.5,35.3,16.62,13.67,HACC_M
vx.f32.txt,1.6,2.0,0.4,0.33,0.57,0.69,6.7,5.35,26.56,32.3,18.69,15.42,HACC_M
vx.f32,1.91,2.36,0.45,0.42,0.67,0.81,6.18,4.96,26.4,31.48,17.78,14.47,HACC_M
xx.f32,1.61,1.87,0.26,0.35,0.62,0.65,7.09,6.01,41.97,34.48,19.73,16.73,HACC_M
xx.f32.txt,1.43,1.7,0.26,0.27,0.46,0.7,7.46,6.31,40.68,40.13,23.11,15.2,HACC_M
vz.f32.txt,1.55,1.99,0.44,0.38,0.6,0.57,6.88,5.36,24.36,28.05,17.74,18.74,HACC_M
vy.f32.txt,1.63,1.99,0.35,0.36,0.64,0.63,6.54,5.38,30.2,29.48,16.66,16.97,HACC_M
yy.f32.txt,3.26,3.53,0.27,1.7,0.64,0.92,3.28,3.03,39.84,6.29,16.8,11.57,HACC_M
Pf48.bin.f32,2.66,3.02,0.37,0.47,1.35,0.84,36.76,31.96,252.82,232.05,71.76,113.44,HURR
PRECIPf48.log10.bin.f32,2.69,3.09,0.41,0.37,1.32,1.0,35.35,30.67,232.35,255.8,70.87,100.99,HURR
QGRAUPf48.log10.bin.f32,2.64,3.02,0.38,0.4,1.25,0.99,35.66,31.1,244.48,235.61,74.34,102.19,HURR
QSNOWf48.log10.bin.f32,2.57,2.96,0.38,0.34,1.35,0.89,36.47,31.7,243.84,273.4,70.55,106.82,HURR
PRECIPf48.bin.f32,2.58,2.98,0.39,0.39,1.33,0.86,38.39,33.04,240.13,271.85,74.09,113.32,HURR
QVAPORf48.bin.f32,2.71,3.1,0.39,0.41,1.33,0.97,35.38,30.72,241.56,246.53,73.11,96.94,HURR
CLOUDf48.log10.bin.f32,2.6,2.97,0.37,0.41,1.34,0.85,36.74,31.96,251.67,244.62,71.42,110.91,HURR
Uf48.bin.f32,2.57,2.96,0.38,0.41,1.33,0.83,37.46,32.3,242.41,244.06,72.88,113.64,HURR
QICEf48.log10.bin.f32,2.75,3.13,0.38,0.41,1.52,0.82,36.15,31.5,249.5,242.94,68.81,114.28,HURR
QSNOWf48.bin.f32,2.78,3.13,0.35,0.43,1.38,0.97,35.34,31.02,263.71,229.19,69.44,105.95,HURR
QCLOUDf48.log10.bin.f32,2.83,3.21,0.38,0.48,1.22,1.13,35.49,30.82,246.28,229.21,76.35,99.81,HURR
CLOUDf48.log10.bin.f32.txt,2.75,3.07,0.33,0.41,1.14,1.2,33.91,30.31,285.14,226.45,81.98,77.67,HURR
QCLOUDf48.bin.f32,2.91,3.27,0.35,0.46,1.29,1.16,33.84,29.83,262.91,218.58,73.13,98.13,HURR
TCf48.bin.f32,2.8,3.17,0.37,0.47,1.34,0.99,33.92,29.93,262.81,225.69,72.5,99.1,HURR
QGRAUPf48.bin.f32,2.37,2.71,0.34,0.39,1.21,0.77,39.56,34.62,278.3,250.7,77.12,122.26,HURR
QRAINf48.log10.bin.f32.txt,2.82,3.27,0.45,0.4,1.59,0.83,33.05,28.48,206.25,234.2,58.46,112.56,HURR
Vf48.bin.f32,2.47,2.85,0.38,0.32,1.32,0.83,38.0,32.92,246.99,287.72,72.19,114.24,HURR
QRAINf48.bin.f32,2.75,3.13,0.38,0.41,1.18,1.16,35.21,30.62,248.8,239.15,79.34,93.26,HURR
Wf48.bin.f32,2.59,2.95,0.37,0.42,1.36,0.81,37.49,32.54,255.55,242.84,71.58,117.9,HURR
CLOUDf48.bin.f32,2.66,3.02,0.36,0.41,1.31,0.94,36.55,31.93,261.77,243.46,74.32,106.04,HURR
